movie_index,text,label_int
18724,"I understand ""Checking Out"" will likely be released in Theatres in the USA in June 2006, and on DVD in November 2006. My recommendation is to not miss ""Checking Out""!! This Comedy Film will entertain everyone, who will all relate to the characters, family relationships and multiple social issues that are portrayed. ""Checking Out"" will make you laugh throughout with quick fire clever humor built into almost every line, and may make you poignantly cry in a touching positive way as well. <br /><br />The subject of suicide is dealt with in a comical way, that at the same time may help people considering it understand the impacts this act may have on those their life has touched and on those who love them. Lets hope that ""Checking Out"" can have a positive impact and help prevent those considering suicide from acting it out, especially in the 16-25 age group that has the highest rate of suicide in the USA. <br /><br />The script is wonderfully written, perfectly casted, and loaded with synchronicity and meaningful flashbacks in time, whose significance become more apparent throughout the film and especially at the ending. I believe the script is worthy of an Academy Award Nomination for ""Best Screenplay, Play to a Movie"" ( The Phoenix Film Festival honored ""Checking Out"" with a ""Best Screenplay Award"" ).<br /><br />The cast is loaded with great actors that out do themselves, and have a long track record of great performances, acting award nominations and wins. I feel Peter Falk's performance in ""Checking Out"" is worthy of an Academy Award Nomination, and is the most challenging and wide ranging of his career. Laura San Giacomo's performance and chemistry with Peter Falk as her father is masterful, and was recognized at the Palm Beach International Film Festival with a ""Best Actress Award.""<br /><br />Even the teenage characters in the movie shine and are played by young acting phenoms Dan Byrd ( Movies: A Cinderalla Story with Hilary Duff; 3 Young Artist Award nominations, Won 1 ) and Mary Elizabeth Winstead ( TV: Monster Island, Wolf Lake, Passions, Touched by an Angel; 2 Young Star Nominations ).<br /><br />Director Jeff Hare and Producer Mark Lane wonderfully develop the characters, their interrelationships, and the story line of this entertaining, enjoyable yet complex script.<br /><br />The film editing keeps the pace of the film moving quickly, only appropriately slowing in the poignant scenes, so that the audience will never loose interest from the beginning to the end.<br /><br />Don't miss this film that you can take the whole family to see and all will enjoy it.",1
15214,"This barely watchable film was a bit of an ordeal to sit through. None of the segments are good, but at least the first one was mildly amusing, and the middle one was somewhat imaginative. The final one was just plain brutal, and after sitting through two weak comedic shorts, the third one was truly painful to watch. Even by the low standards of a National Lampoon movie, this one seemed especially boring and joyless.",0
42398,"I was 19 in 1970 when it came out and having heard how funny it was when it came out and reading the reviews here, I finally rented it and watched it. I didn't laugh once - a very unfunny flick - and I usually love Reiner. I cannot for the life of me figure why this is seen as funny. I had not one chuckle. And I love comedies! Oh well, at least now I know what all the shouting was about. Not my idea of a comedy. Go rent The Navigator or The Love Nest by Buster Keaton - now THOSE are comedy classics! If you rent this one - have a back-up rental so your whole evening isn't a loss. Score 3 out of 10",0
25735,"Well let me just say something about these actors, they really were a good decision, and from experience, having actors really brings the dialogue to life. If you walk into this even fifteen minutes late, you'll be in for a shock, the movie will have already began. You don't want to miss the first few jokes, assuming you came to not miss any jokes.<br /><br />Wow! I have never seen a movie that ended with such a final ending. Not to be harsh, I mean I loved it, but it just surprised me that it really kept going until it stopped! But i'm getting ahead of myself, lets start with the very start of it, when it began. The plot outline goes like this, there is this man, and not to give away any spoilers, (*Spoiler Alert!!*) (he hasn't had any sex ever(!) they use this plot device to set the story moving, and there are (intentionally or not, it could go either way) some funny situations had by the main characters, some containing irony, and jokes, and awkward situations, you know.<br /><br />The director uses the advancements in technology by combining the film shot on the set and scripted dialog, some music, and jokes to make a funny movie, designed as a comedy, where he takes us on a journey from the opening credits to the end with an entirely full movie in between. I went into this movie expecting to see a funny comedy because of what I already knew about it, and left feeling as though i had just left a theater that just played a funny comedy. TEN STARS!!!",1
2572,"If you have trouble suspending disbelief then this isn't for you. Consider: a woman already in late middle age finds a newborn baby in a cabbage patch and raises it as her own. Think about it; she makes no attempt to locate the mother, who may well be a confused teenager in need of medical treatment and seemingly no one from the Italian equivalent of Social Services makes any attempt to put the baby into 'care' (no Social Services? now I KNOW it's a fantasy). Before you know it young Toto is ten or so and his adoptive mother dies leaving him to the orphanage from which he emerges a HAPPY man who loves everybody. In nothing flat he has not only given his suitcase to the man who stole it from him but organised the local homeless into bona fide Shantytown residents and for an encore he leads them in a fight against capitalism in the shape of the businessman who buys the land on which the Shantytown stands when oil is discovered there. This wants some swallowing without the subsequent 'miracles' beginning with Toto's dead mother (the old lady who raised him rather than his biological one) appearing to him and handing him a dove which doubles as a magic wand allowing him to grant modest wishes and a finale in which the hobos fly away to a better place located presumably somewhere over the rainbow.<br /><br />On the other hand the film is up to here with Charm and is easy to surrender to. On balance a small masterpiece.",1
32601,"He's the only reason to see this film. He gives a very good performance--much better than this crap deserves. He's very handsome and very talented--he deserves better than this. Also depressing is to see Malcolm McDowell in this. He's another talented actor who deserves better but, like Esai, he gives a very good performance. So, if you're fans of either of them you might want to watch. Otherwise, stay away. One more complaint--couldn't we have had more scenes of Esai shirtless?",0
39510,"Although nothing can compare to Vampires Vs. Zombies...in any realm of film making i will attempt to judge this movie.<br /><br />Firstly, the special effects were breath-taking. When there was an explosion on the television screen i thought my entire house was going to explode, and when automatic machine guns were fired i thought the shells were landing on the floor right next to me. Simply stunning my friends.<br /><br />But the scene when the Jack Black sound-a-like is giving the worst monologue i have ever heard i nearly killed myself, but don't worry since he was getting blazed in the movie he can pass his awful acting off on ""I must be high"". Seriously, he must have watched himself mindlessly babbling about non-congruent thoughts that make absolutely no sense and just added that he must be ""high"" to justify his awful acting. Well if you can say that to excuse terrible acting then if you talked to the writers, directors, executive producers, sponsors you will probably get the same response...seriously.<br /><br />With a production team called ""Shock-o-rama"" i was shocked i didn't place a sawed-off shotgun in my mouth and ended my life after this shockingly terrible excuse for a movie was played.<br /><br />If you want to see this movie, then you should be murdered <br /><br />Yours Truly,<br /><br />The General",0
40945,"From everything I'd read about the movie, I was excited to support a film with a Christian theme. Everything about the movie was very unprofessionally done. Especially the writing! Without good writing a movie doesn't have a chance. The writer/director said in an interview that he didn't want to give away how the title relates to the story. Believe me, it was NO big surprise. I kept waiting for the teenage/young adult back-story to unfold, but it never did. As someone who has gone through a divorce, I was very disappointed. This movie would have been NO comfort to me when I first went through the emotional turmoil that divorce can bring to your life as a Christian!",0
22963,"THE CELL fascinated me at first glance. I was a bit surprised about that fact, because the story of that movie is absolutely boring. If it had no story, the film would be better. Bunuels ""Un chien andalou"" comes to my mind- a film without story, but also with fascinating and sometimes disturbing images. But THE CELL is at first a Hollywood-Movie, and only second a piece of art. I'm very interested in Tarsem's next project. Hamlet on Indian could be very interesting, especially when it has the same looks as THE CELL.<br /><br />For film music enthusiasts: Howard Shore's score for THE CELL is absolutely marvelous, but a hard listening experience, because of its very modernistic style.",1
29230,"Those of you who know the group dEUS, know the lead singer Tom Barman. He directed this movie a bit like he creates music, it's a mix of everything. This is a comedy, though mostly absurd and cynical, a drama, none of the main characters have a happy life to say the least, and it does not really have a goal.<br /><br />The movie starts on a friday morning in Antwerp, Belgium, with scenes of several persons, some of them have nothing in common but they will come in contact with each other during the day and night. There are several main characters: a teacher who writes books nobody reads, a young researcher with a morbid taste of death and his sister, a gallery owner, two young men constantly in touch with the law, a man who works in a movie theater and two young women. Throughout the movie there walks a man who has something to do with wind. All characters have their troubles, with their family or friends or just with life itself.<br /><br />The movie is set in Antwerp and shows several beautiful shots of the city and the port. The events of the day are not easily explained, I advise to simply watch the movie, there is simply too much to tell. But I can say this, Barman has an excellent use of the camera and uses a lot of music (mostly dance music, not really rock) to set a mood, especially the party is filled with excellent music.<br /><br />This movie is an experience on itself, it will not leave you any wiser about life, perhaps only that you have to live it and not waste it, or have any false moral truths.<br /><br />In short, see it, it is definitely worth it!",1
